time,value
0,6.6008
1,6.9317
2,7.3196
3,7.4452
4,7.4109
5,7.4115
6,8.051
7,7.4331
8,7.5593
9,13.855
10,12.275
11,13.365
12,14.077
13,19.328
14,12.215
15,13.2
16,11.165
17,11.053
18,7.0209
19,6.5725
20,6.5252
21,6.4677
22,6.4324
23,6.4304
