time,value
0,6.2628
1,6.3443
2,7.3058
3,10.244
4,10.725
5,7.9384
6,8.0222
7,7.3632
8,8.5448
9,8.901
10,11.089
11,19.541
12,25.978
13,26.275
14,10.378
15,7.5741
16,6.1482
17,6.2144
18,6.3047
19,8.7884
20,9.4265
21,9.8893
22,13.3
23,11.981
