time,value
0,22.552
1,23.43
2,27.371
3,30.909
4,36.04
5,33.825
6,40.672
7,34.888
8,106.61
9,97.334
10,66.845
11,27.916
12,32.511
13,65.486
14,132.72
15,58.615
16,26.436
17,34.988
18,27.254
19,29.148
20,29.513
21,26.599
22,28.883
23,25.296
