time,value
0,6.7931
1,6.8378
2,7.354
3,6.9607
4,9.1069
5,8.4274
6,11.635
7,8.1508
8,8.2054
9,11.497
10,11.172
11,7.9034
12,12.687
13,15.693
14,19.771
15,20.732
16,20.351
17,17.963
18,6.77
19,6.6526
20,6.6331
21,6.9365
22,6.6091
23,6.6014
