time,value
0,6.1129
1,6.1284
2,7.2967
3,7.9703
4,11.809
5,7.7276
6,10.179
7,14.996
8,16.408
9,10.145
10,17.364
11,9.8737
12,18.065
13,14.87
14,10.988
15,7.6697
16,6.6282
17,6.6216
18,6.5218
19,6.9247
20,6.0368
21,6.1137
22,6.1517
23,6.0893
