time,value
0,6.4484
1,6.5154
2,7.0499
3,11.486
4,7.4142
5,7.5497
6,7.4009
7,7.399
8,7.6623
9,8.3892
10,7.7402
11,7.8956
12,7.6553
13,7.7403
14,7.5374
15,7.0339
16,7.3023
17,8.4907
18,10.532
19,6.7322
20,6.7394
21,6.735
22,6.7469
23,6.7486
