time,value
0,6.1017
1,6.0516
2,6.2008
3,6.3632
4,6.4362
5,6.6183
6,6.7257
7,6.438
8,7.9552
9,11.209
10,12.242
11,11.261
12,10.379
13,6.9301
14,6.5715
15,6.5028
16,6.8197
17,7.3322
18,6.9366
19,6.1827
20,6.2007
21,6.1867
22,6.137
23,6.1213
