time,value
0,33.69
1,53.188
2,34.482
3,30.226
4,28.571
5,29.451
6,30.869
7,54.033
8,116.2
9,74.816
10,46.099
11,34.947
12,34.438
13,73.453
14,104.95
15,81.786
16,51.061
17,38.603
18,31.38
19,33.114
20,39.158
21,28.817
22,25.732
23,23.984
