time,value
0,6.0146
1,6.0871
2,6.7651
3,10.297
4,9.3734
5,8.1652
6,8.2175
7,19.083
8,21.762
9,10.145
10,17.364
11,9.8737
12,10.285
13,8.809
14,11.194
15,8.659
16,10.793
17,10.061
18,8.1886
19,7.7382
20,6.7319
21,6.1984
22,5.9304
23,5.9254
