time,value
0,6.1129
1,6.1284
2,7.2967
3,7.9703
4,11.809
5,7.7276
6,10.179
7,14.996
8,16.408
9,10.145
10,17.364
11,9.8737
12,10.285
13,8.809
14,11.194
15,8.659
16,10.793
17,10.061
18,8.1886
19,7.7382
20,6.7319
21,6.1984
22,5.9304
23,5.9254
