time,value
0,6.7744
1,6.7619
2,6.7755
3,6.8191
4,6.8217
5,6.8311
6,6.8289
7,7.0731
8,8.4887
9,16.294
10,12.071
11,18.102
12,15.843
13,18.946
14,7.2798
15,7.7214
16,7.2114
17,6.7162
18,6.6679
19,6.7071
20,6.7198
21,6.7256
22,6.76
23,6.7531
