time,value
1,6.3504
2,7.3087
3,10.408
4,10.976
5,7.934
6,8.0878
7,7.3786
8,8.3408
9,8.7341
10,11.255
11,19.13
12,25.86
13,26.422
14,10.394
15,7.6864
16,6.1568
17,6.2192
18,6.1263
19,8.8026
20,9.5817
21,8.9101
22,13.492
