time,value
1,23.362
2,27.151
3,27.871
4,31.204
5,37.485
6,34.544
7,39.7
8,87.786
9,78.318
10,39.362
11,28.896
12,33.338
13,83.656
14,129.88
15,88.069
16,43.462
17,45.56
18,49.18
19,39.689
20,37.633
21,37.427
22,28.248
